Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
28-02-2023,0.365,0.368,0.348,0.352,76748794.6,1/3/2023,27548861.71,86272,36452572.5,13087868.1,0
27-02-2023,0.369,0.37,0.358,0.365,71396733.7,28-02-2023,25990074.91,71429,33858556.8,12323964.74,0
26-02-2023,0.362,0.37,0.358,0.369,62253729.4,27-02-2023,22631805.6,57750,31115899,11313704.3,0
25-02-2023,0.366,0.368,0.351,0.362,93356389.8,26-02-2023,33675461.15,80371,45265329.7,16327230.55,0
24-02-2023,0.382,0.385,0.358,0.366,136530140.7,25-02-2023,50738363.88,127749,62596698.4,23263710.96,0
23-02-2023,0.389,0.395,0.379,0.382,81228997.5,24-02-2023,31463531.77,83429,39421496.5,15271469.53,0
22-02-2023,0.393,0.393,0.377,0.389,123152287,23-02-2023,47282477.89,111822,59787851.5,22951709.95,0
21-02-2023,0.404,0.406,0.386,0.393,119823429,22-02-2023,47413672.79,110747,57083255.3,22597573.17,0
20-02-2023,0.399,0.41,0.389,0.404,116906377.7,21-02-2023,47218475.78,115745,57874925.7,23378181.96,0
19-02-2023,0.406,0.412,0.397,0.4,98181230.1,20-02-2023,39725311.71,108949,45484690.9,18406188.83,0
18-02-2023,0.403,0.418,0.398,0.406,89590271.5,19-02-2023,36365358.17,84846,45868526.3,18613623.49,0
17-02-2023,0.387,0.41,0.385,0.403,123524213.6,18-02-2023,49269938.15,122095,62058671.2,24747451.94,0
16-02-2023,0.419,0.421,0.386,0.387,174768994,17-02-2023,70700360.39,178497,84267748.8,34116379.59,0
15-02-2023,0.387,0.42,0.382,0.419,151591225.3,16-02-2023,59778979.45,154132,82923592.9,32705015.23,0
14-02-2023,0.359,0.393,0.354,0.387,156990175.9,15-02-2023,58628401.2,149699,82589661.1,30859079.29,0
13-02-2023,0.364,0.366,0.345,0.359,114427322,14-02-2023,40573133.73,113480,53431788.2,18951972.47,0
12/2/2023,0.368,0.374,0.36,0.364,57416092.2,13-02-2023,21128707.77,60634,28403827.9,10454436.2,0
11/2/2023,0.358,0.37,0.357,0.368,55904954.9,12/2/2023,20214834.51,53308,26913298,9736499.462,0
10/2/2023,0.362,0.366,0.353,0.358,104289819.1,11/2/2023,37588836.44,101653,50105196.1,18063652.89,0
9/2/2023,0.394,0.396,0.354,0.362,151503834.4,10/2/2023,57086936.97,147128,72325490.7,27259377.19,0
8/2/2023,0.399,0.404,0.385,0.394,92872527.4,9/2/2023,36786726.66,89570,45702981.4,18104835.21,0
7/2/2023,0.382,0.4,0.381,0.399,107246776.8,8/2/2023,41771566.36,104067,54890952,21395306.38,0
6/2/2023,0.392,0.403,0.38,0.382,110247851.9,7/2/2023,43173103.62,103365,54205265.7,21242299.99,0
5/2/2023,0.399,0.402,0.382,0.392,104454046,6/2/2023,40964679.72,99821,49438702,19385442.13,0
4/2/2023,0.404,0.406,0.398,0.399,69665961,5/2/2023,28001934.45,67191,33519331.1,13473213.28,0
3/2/2023,0.398,0.407,0.394,0.404,112231580.7,4/2/2023,45021086.33,110403,55478843.7,22252425.41,0
2/2/2023,0.397,0.414,0.392,0.398,179215658.3,3/2/2023,72380820.24,185499,88934062.1,35929726.81,0
1/2/2023,0.39,0.402,0.371,0.397,162998963.9,2/2/2023,62784020.14,176466,80927462.5,31198496.73,0
31-01-2023,0.372,0.4,0.368,0.39,156301183,1/2/2023,59967794.67,136857,77326666.9,29674233.67,0
30-01-2023,0.398,0.398,0.365,0.372,134336665,31-01-2023,51134971,124556,61467635.2,23401299.29,0
29-01-2023,0.382,0.399,0.377,0.398,102929204.6,30-01-2023,40157767.99,99708,52194606.1,20373516.37,0
28-01-2023,0.39,0.398,0.378,0.382,119208593.2,29-01-2023,46208585.48,108375,58676329.6,22741508.96,0
27-01-2023,0.38,0.391,0.368,0.39,112713613.3,28-01-2023,42795611.93,104457,55291962.1,21010385.07,0
26-01-2023,0.373,0.389,0.371,0.38,152020632.1,27-01-2023,57639690.96,134337,75092935.7,28485506.6,0
25-01-2023,0.359,0.38,0.347,0.373,125501560.2,26-01-2023,45186532.41,122744,59116298.6,21301588.09,0
24-01-2023,0.375,0.383,0.355,0.359,111749419.5,25-01-2023,41728216.61,107485,53848740.9,20115308.61,0
23-01-2023,0.376,0.384,0.369,0.375,168920181.8,24-01-2023,63438244.68,147715,81879022.1,30760516,0
22-01-2023,0.369,0.387,0.363,0.376,205382044,23-01-2023,77558380.59,184535,99553566.7,37602866.44,0
21-01-2023,0.365,0.381,0.357,0.369,228951787,22-01-2023,84320415.92,195678,112872294.5,41556323.21,0
20-01-2023,0.338,0.366,0.334,0.365,130767450.6,21-01-2023,45603264.59,114788,65123062,22716523.04,0
19-01-2023,0.326,0.343,0.326,0.338,80228314.7,20-01-2023,26780825.48,72624,39016752.2,13024231.14,0
18-01-2023,0.345,0.355,0.324,0.326,170018857.2,19-01-2023,57705260.15,158161,79570251.9,27001317.8,0
17-01-2023,0.35,0.358,0.343,0.345,101591352.2,18-01-2023,35648563,96893,48489980.6,17018565,0
16-01-2023,0.351,0.364,0.338,0.35,156864828.5,17-01-2023,55154485.2,135456,77392992.8,27219905.34,0
15-01-2023,0.353,0.354,0.339,0.351,132983094.3,16-01-2023,46120700.66,111654,65033920.6,22558338.23,0
14-01-2023,0.345,0.37,0.332,0.352,288977177.5,15-01-2023,102311533.6,269368,145077040.5,51391276.54,0
13-01-2023,0.329,0.351,0.324,0.346,150546494,14-01-2023,50290558.79,132896,75438244.8,25211615.56,0
12/1/2023,0.323,0.335,0.315,0.329,248440812.5,13-01-2023,80984073.17,160006,126294016.4,41172653.24,0
11/1/2023,0.322,0.324,0.307,0.323,144048586.5,12/1/2023,45390642.83,93951,71986686.4,22683947.27,0
10/1/2023,0.317,0.325,0.306,0.322,184082448.1,11/1/2023,58443335.35,111866,92508102.6,29379189.35,0
9/1/2023,0.297,0.346,0.295,0.317,405177005.9,10/1/2023,130535883.7,289600,204970775.8,66028132.56,0
8/1/2023,0.277,0.299,0.274,0.297,196047722.8,9/1/2023,56211406.76,115112,102786505.6,29481600.73,0
7/1/2023,0.279,0.281,0.272,0.277,72623368.2,8/1/2023,20043247,43840,34331752.9,9475851.345,0
6/1/2023,0.269,0.28,0.267,0.279,171198727.6,7/1/2023,46709200.59,91513,85435452.4,23313758.02,0
5/1/2023,0.268,0.271,0.263,0.269,81943632.6,6/1/2023,21875835.64,50246,41577762.6,11102597.58,0
4/1/2023,0.253,0.271,0.252,0.268,148810996.5,5/1/2023,39307216.21,81093,77143345.9,20391284.28,0
